Paragraf (kód);Položka (kód);Schválený rozpočet;Rozpočet po změnách;Konečný rozpočet;Výsledek od počátku roku
1019;5321;0;150915;150915;150915
1019;5323;60500000;60349085;60349085;10260482,5
1069;5169;250000000;0;0;0
1069;6121;450000000;0;0;0
2131;5214;3720000000;3720000000;3720000000;0
2131;6202;1000000000;1000000000;1000000000;1000000000
2211;5163;2800000;10300000;10300000;6729557,72
2211;5214;1064000000;1064000000;1064000000;503356858
2212;5214;231000000;231000000;231000000;110466788,4
2212;5321;0;6831000;6831000;0
2212;6341;0;1101000;1101000;0
2241;5183;1336000000;1336000000;1336000000;652033741,5
2242;5183;1000000;1000000;1000000;0
2243;5183;100000000;100000000;100000000;0
2310;6341;210000000;0;0;0
2321;5163;32000000;24500000;24500000;11995021,19
2321;5214;17000000;17000000;17000000;1895043,32
2321;6341;0;0;0;0
2331;6313;0;0;0;0
2332;5213;40000000;0;0;0
2332;6313;60000000;0;0;0
2333;5214;399000000;399000000;399000000;194650461,9
2539;5183;500000000;500000000;500000000;0
2564;5192;18000000;16954000;16954000;0
3111;6341;45000000;45000000;45000000;0
3113;6341;821030000;1057783000;1057783000;70115683,82
3315;6351;130000000;130000000;130000000;0
3599;5314;63058000000;63058000000;63058000000;31309420800
3612;5137;20000;20000;220000;8844
3612;5139;0;0;20000;5575
3612;5151;20000;20000;20000;0
3612;5153;30000;30000;30000;0
3612;5154;70000;70000;70000;27409
3612;5169;512000;512000;562000;171828,67
3612;5171;340000;340000;340000;185311,55
3612;5909;0;0;20000;0
3615;5499;4900000000;4900000000;4900000000;4136080816
3721;5319;187600000;187600000;187600000;134000000
3721;6339;207300000;207300000;207300000;50000000
3744;6313;120000000;0;0;0
3771;5321;0;6071283;6071283;6071283
3771;5323;32000000;25928717;25928717;585565
3900;5221;1800000;1800000;1800000;1800000
3900;5222;14850000;30350000;30350000;23825000
4191;5499;7200000000;7200000000;7200000000;3397450874
4193;5422;300000;300000;300000;0
4341;5429;20000000;15000000;15000000;0
5212;5321;45000000;45000000;45000000;45000000
5220;5901;140000000;140000000;140000000;0
5271;5137;100000;84550;84550;29979
5271;5139;5000;14450;14450;550
5271;5166;0;0;0;0
5271;5167;0;0;0;0
5271;5169;0;0;0;0
5271;5171;0;6000;6000;0
5271;5173;0;0;0;0
5271;5909;0;0;0;0
5271;6122;0;0;0;0
5316;5169;605000000;0;0;0
5529;5323;0;1277813,2;1277813,2;0
5529;5901;60000000;58722186,8;58722186,8;0
6114;5321;208208000;208208000;208208000;0
6114;5909;60849800;48174900;48174900;0
6115;5321;196640000;196400000;196400000;383023
6115;5323;0;240000;240000;135000
6115;5369;0;324956,17;324956,17;324956,17
6115;5909;134044750;102994715;102994715;0
6141;5011;70792845;70792845;70811294;25691623
6141;5013;802738301;802738301;803457456;275361160
6141;5021;21248979;21621913;23907779;6671775
6141;5024;0;0;490000;0
6141;5031;223695037;223695037;224544140;76901303
6141;5032;80530214;80530214;80835891;27681041
6141;5041;5000;5000;5000;4656
6141;5042;0;5636500;7721646,55;762556,2
6141;5131;0;0;10000;0
6141;5132;63000;63000;65000;387,9
6141;5133;12000;12000;25000;795
6141;5134;65000;94000;104000;21577
6141;5136;551500;561500;959761;211891,12
6141;5137;13760334;14141334;23602246,57;958370,56
6141;5139;10957000;11113000;14427725,34;5365464,34
6141;5142;500000;500000;513000;191209
6141;5151;2531000;2261520;2412320;935443,94
6141;5152;4400000;4355000;6363000;876007,26
6141;5153;2131000;2031000;2031000;899271,51
6141;5154;22370000;21935776;24947776;9009747,53
6141;5156;3000000;3000000;6000000;819865,77
6141;5157;220000;220000;220000;10462,4
6141;5161;90533000;90538000;92238000;15149
6141;5162;67901500;67901500;70803048,99;10881764,5
6141;5163;73939000;53939000;74614106;38116610,22
6141;5164;19603300;19693300;21668721;7468858,09
6141;5166;20382000;89560054;116612765,1;43380819,91
6141;5167;11070200;11330200;11615781;1957782,95
6141;5168;526747839;523068124;838955694;200500536,4
6141;5169;316997310;317110322;329637952,1;24038967,67
6141;5171;42585000;42519000;57921471,26;13154583,05
6141;5172;2205000;260000;446337,53;44124,07
6141;5173;48627706;48297706;48985427,05;12685061,13
6141;5175;1315000;1315000;1375000;351736,35
6141;5176;4414913;4414913;4414913;787907,11
6141;5177;954000;954000;954000;84089,58
6141;5179;58300000;58300000;58745000;444987
6141;5182;0;0;0;1501332,34
6141;5189;30000;30000;30000;0
6141;5191;0;0;0;0
6141;5192;23415000;40567000;78855103,43;16027636,64
6141;5194;64000;64000;64000;6655
6141;5196;0;0;0;0
6141;5199;0;0;40000;0
6141;5319;15000000;15000000;18950000;9475000
6141;5323;0;0;0;0
6141;5342;13102965;13102965;13159431;6586096
6141;5361;10000;10000;12000;500
6141;5362;2804000;17059500;22226500;18472781,89
6141;5363;0;0;1741700;1532055
6141;5365;1000;1000;1000;0
6141;5422;700000;700000;2506711;3025
6141;5424;2583820;2583820;2583820;1216325
6141;5429;12029000;11779000;17529000;967019,44
6141;5494;5000000;5000000;5000000;0
6141;5511;152243000;152243000;153051852,4;128507647
6141;5512;830510000;830510000;830510000;328451823
