Paragraf (kód);Položka (kód);Schválený rozpočet;Rozpočet po změnách;Výsledek od počátku roku
1036;5212;0;443857;224683
1036;5213;0;89640;49838
2212;5139;490000;490000;110187,82
2212;5166;10000;10000;2667
2212;5169;10000;10000;0
2212;5171;600000;554000;0
2212;6121;25300000;24885679;264012,2
2219;5139;360000;360000;17404
2219;5164;85000;48700;4500
2219;5166;0;107741;49661
2219;5171;20000;25867;0
2219;5909;0;100000;100000
2219;6121;400000;1079882;376669
2221;5171;20000;20000;530
2221;5193;700000;700000;0
2229;5139;150000;150000;54318
2229;5169;20000;20000;0
2310;5011;590000;590000;307452
2310;5021;131880;131880;14940
2310;5031;147500;147500;76865
2310;5032;53100;53100;27673
2310;5132;8000;8000;0
2310;5134;20000;20000;0
2310;5137;20000;60230;39570
2310;5139;600000;559770;111412,52
2310;5151;2500000;2500000;1222096
2310;5154;540000;540000;85436
2310;5156;30000;30000;405
2310;5161;70000;70000;21571,88
2310;5162;25000;25000;11140,27
2310;5166;20000;20000;2420
2310;5169;1300000;1300000;592874,45
2310;5171;1460000;1449700;107066,5
2310;5362;1000000;1000000;235998
2310;5909;0;3932;3932
2310;6121;1100000;2714109;1740912,69
2310;6122;0;60000;0
2321;5011;617000;617000;317979
2321;5031;154300;154300;79497
2321;5032;55500;55500;28618
2321;5132;5000;5000;0
2321;5137;0;23430;11330
2321;5139;150000;150000;62319,4
2321;5154;2200000;2200000;774233
2321;5156;164000;164000;7604,16
2321;5162;10000;20000;8338,93
2321;5169;2060000;2060000;1015444,81
2321;5171;965000;851313;359350,86
2321;5362;42000;42257;20257
2321;5909;0;80000;80000
2321;6121;155000;167100;0
2321;6122;0;12100;0
3111;5166;0;18150;18150
3111;5331;3998691;3998691;2878691
3111;6121;0;1598505;853810
3113;5011;480000;480000;0
3113;5021;20000;20000;0
3113;5031;120000;120000;0
3113;5032;43200;43200;0
3113;5041;10000;10000;0
3113;5137;700000;1329767,88;727232,69
3113;5139;8000;88000;23983,64
3113;5151;200000;200000;0
3113;5153;261000;261000;0
3113;5154;1092000;1092000;0
3113;5166;0;171820;171820
3113;5169;140000;140000;8600
3113;5171;225000;235890;12632
3113;5331;7633066;7633066;5673066
3113;5901;200000;52000;0
3113;6121;19800000;31065255,35;21572931,48
3113;6122;581000;2396858;1361486,24
3231;5171;0;89434;0
3231;5331;325110;325110;325110
3231;6121;0;339000;0
3314;5021;18000;18000;2000
3314;5136;90000;90000;37932
3314;5137;15000;15000;0
3314;5138;5000;5000;0
3314;5139;5000;5000;0
3314;5151;5000;5000;0
3314;5154;59000;59000;23244
3314;5161;1000;1000;76,2
3314;5169;10000;10000;127
3314;5171;25000;25000;553
3314;5173;2000;2000;80
3314;5175;3000;3000;398
3314;5494;3000;3000;0
3319;5021;12000;12000;6000
3326;5171;0;84000;0
3326;5223;0;1162;0
3349;5021;18000;18000;10676
3349;5139;325000;325000;126548
3349;5162;3000;3000;1479,31
3349;5169;417000;417000;190567,1
3392;5021;40000;40000;0
3392;5041;400000;440000;200994
3392;5137;40000;40000;0
3392;5138;25000;25000;0
3392;5139;40000;40000;3459
3392;5151;28000;28000;12000
3392;5152;40000;40000;16800
3392;5154;41000;41000;16002
3392;5164;15000;15000;0
3392;5169;145000;155002;81511
3392;5171;23000;23000;0
3392;5173;2000;2000;0
3392;5175;20000;20000;6353
3392;5199;14000;14000;6354
3392;5901;10000;10000;0
3392;5909;0;2998;2998
3399;5021;45000;45000;2440
3399;5041;290000;290000;74900
3399;5132;2000;2000;0
3399;5137;30000;30000;0
3399;5138;0;384000;0
3399;5139;50000;50000;11273
3399;5153;30000;30000;15996
3399;5154;25000;25000;4211
3399;5164;80000;140000;78167
3399;5169;130000;130000;77571
3399;5171;25000;60000;8362
3399;5173;15000;15000;0
3399;5175;80000;78838;17797
3399;5194;35000;35000;5010
3399;5212;0;160000;160000
3399;5222;360000;200000;170000
3399;5321;0;15000;0
3399;5492;60000;45000;0
3412;5139;110000;109000;19787
3412;5151;6000;6000;79
3412;5154;25000;25000;11289
3412;5169;40000;40000;0
3412;5171;30000;30000;0
3412;5909;0;289924;286563
3412;6121;0;1000;1000
3421;5212;0;20000;20000
3421;5222;1090000;1070000;947000
3421;6322;0;400000;400000
3612;5021;15000;15000;7800
3612;5132;2000;2000;0
3612;5134;1000;1000;0
3612;5139;2000;2000;0
3612;5151;70000;70000;36263
3612;5154;15000;35000;16665
3612;5166;5000;5000;0
3612;5169;26000;16000;2814
3612;5171;80000;70000;0
3612;5909;5000;5000;16992
3613;5153;37000;37000;16709
3613;5154;30000;30000;9192
3613;5166;5000;5000;0
3613;5169;20000;20000;3251
3613;5171;15000;15000;3105
3613;5901;25000;25000;0
3631;5139;150000;150000;0
3631;5154;700000;700000;521931,55
3631;5169;700000;700000;283206
3631;5171;150000;206946;87861
3631;6121;2100000;2020000;230183
3632;5021;72000;72000;16020
3632;5139;2000;10000;2310
3632;5164;100;100;0
3632;5171;30000;30000;30000
3633;5137;0;20522;20522
3633;5171;30000;30000;0
3633;6121;0;80000;0
3635;5169;200000;200000;0
3635;6119;560000;560000;32670
3636;5164;143040;132747;118160,76
3636;5166;150000;139400;0
3636;5169;1241590;1241590;1185241
3636;5229;25500;25871;25871
3636;5329;75000;75000;74217
3636;5361;50000;50000;9000
3636;5362;1714300;1714300;567762
3636;5629;0;200000;200000
3636;6130;15300000;15300000;0
3639;5011;4590000;4648208,96;2496997
3639;5021;36000;36000;21960
3639;5031;1147500;1162052,23;628575
3639;5032;413100;418338,81;226284
3639;5131;7000;7000;633
3639;5132;15000;15000;6668
3639;5134;75000;75000;9799
3639;5137;60000;60401;60401
3639;5139;270000;270000;122299
3639;5151;5000;12318;0
3639;5154;220000;220000;103666
3639;5156;900000;874281;283692,19
3639;5162;72000;72000;31806,07
3639;5167;50000;50000;32534,25
3639;5169;100000;100000;29324
3639;5171;400000;400000;161001,46
3639;5173;4000;14000;3107
3639;5175;3000;3000;570
3639;5181;0;0;15000
3722;5169;7100000;7100000;2739400
3723;5136;2000;2000;0
3723;5139;128000;128000;78435,5
3729;5169;80000;80000;0
3729;5901;600000;600000;0
3744;6121;0;210000;0
3745;5132;7000;7000;0
3745;5134;15000;15000;0
3745;5136;3000;3000;115
3745;5137;70000;70000;0
3745;5139;300000;298210;75751
3745;5169;70000;70000;0
3745;5171;100000;100000;8759
3745;6122;360000;361790;0
4339;5011;1363000;1363000;590677
4339;5021;15000;15000;0
4339;5031;341000;341000;147673
4339;5032;123000;123000;53160
4339;5132;1000;1000;0
4339;5136;2000;12000;1951
4339;5137;3000;3000;0
4339;5139;7000;20000;11245
4339;5151;4000;4000;2997,15
4339;5152;37000;37000;15476,23
4339;5154;32000;32000;3154,14
4339;5156;18000;18000;6270
4339;5161;15000;15000;3304
4339;5162;37000;37000;0
4339;5164;576000;576000;208617,55
4339;5167;134000;134000;1889
4339;5168;2000;2000;0
4339;5169;31000;31000;6834,17
4339;5171;5000;5000;0
4339;5172;2000;2000;0
4339;5173;15000;15000;13077
4339;5175;2000;2000;197
4339;5499;751000;728000;297302
4350;5021;42000;42000;20790
4350;5031;11000;11000;5202
4350;5032;4000;4000;1872
4350;5137;30000;30000;15741
4350;5139;25000;25000;14210
4350;5151;110000;110000;52115
4350;5153;280000;280000;93998
4350;5154;200000;200000;77862
4350;5162;75000;75000;39063,25
4350;5169;125000;125000;55565,4
4350;5171;115000;115000;68734
4350;5181;0;0;10000
4350;5909;20000;27411;62915
4350;6901;40000;40000;0
4351;5011;1058000;1058000;524580
4351;5021;100000;100000;25977
4351;5031;289500;289500;136261
4351;5032;104200;104200;49055
4351;5137;5000;5000;0
4351;5138;480000;480000;303480
4351;5139;30000;30000;5467
4351;5151;15000;15000;15000
4351;5153;25000;25000;25000
4351;5154;20000;20000;20000
4351;5156;70000;70000;22661,24
4351;5162;15000;15000;5479,2
4351;5167;25500;25500;5470
4351;5169;25000;25000;21511
4351;5171;15000;15000;3872
4351;5173;6000;6000;150
4351;5362;4500;4500;0
4379;5041;18000;18000;4000
4379;5169;99000;99000;35466
4379;5175;15000;15000;3665
4379;5194;20000;20000;0
4379;5212;0;4000;4000
4379;5221;0;4000;4000
4379;5222;45000;12000;12000
4379;5223;5000;30000;30000
4379;5901;50000;50000;0
5299;5132;3000;3000;0
5299;5139;15000;15000;0
5299;5175;22000;22000;0
5299;5901;500000;500000;0
5311;5011;6600000;6588625;3386607
5311;5021;0;11375;11375
5311;5031;1650000;1650000;834138
5311;5032;594000;594000;300293
5311;5132;40000;40000;0
5311;5134;220000;230000;229417
5311;5136;5000;5000;979
5311;5137;80000;80000;70172,7
5311;5139;100000;100000;40634,64
5311;5151;25000;25000;6542
5311;5153;60000;60000;18996
5311;5154;75000;75000;6601
5311;5156;280000;280000;156449,96
5311;5161;40000;40000;760
5311;5162;100000;100000;54980,43
5311;5166;8000;8000;0
5311;5167;90000;90000;39503
5311;5168;0;104000;38962
5311;5169;115000;115000;64072
5311;5171;150000;140000;86333
5311;5173;20000;20000;0
5311;5175;5000;5000;1508
5311;5181;0;0;15000
5311;5361;5000;5000;400
5311;6121;0;103746;0
5311;6122;0;400000;387188
5311;6901;400000;0;0
5512;5011;249000;249000;119962
5512;5029;0;25000;24996
5512;5031;62300;62300;29021
5512;5032;22400;22400;10448
5512;5132;70000;45000;28721
5512;5134;100000;79000;0
5512;5137;162000;75064;62931
5512;5139;276000;241771;90655,16
5512;5151;5000;5000;565
5512;5153;70000;70000;25219
5512;5154;50000;50000;24601
5512;5156;120000;120000;39699
5512;5162;33000;33000;14279,35
5512;5163;8000;30540;23500
5512;5166;10000;0;0
5512;5167;30000;30000;24063
5512;5168;20000;20000;6053,87
5512;5169;100000;121000;103510,8
5512;5171;430000;359460;137729,63
5512;5172;0;20229;20229
5512;5175;20000;20000;10404
5512;5181;0;0;15000
5512;6121;0;12100;0
5512;6122;5000000;5189486;189486
6112;5021;214000;214000;58988
6112;5023;1147000;1147000;564856
6112;5031;150000;150000;79668
6112;5032;103000;103000;55748
6112;5136;1000;1000;0
6112;5137;5000;5000;0
6112;5139;3000;3480;725
6112;5162;20000;20000;10000,86
6112;5175;12000;30600;19493
6112;5176;6000;6000;0
6112;5194;5000;12981;8588,7
6112;5222;20000;20000;0
6112;5492;30000;2939;1580
6171;5011;68427000;68359000;31598162
6171;5021;641000;661000;123742
6171;5031;17108500;17108500;7838480
6171;5032;6158000;6158000;2821630
6171;5041;23000;23000;15925
6171;5132;41000;40900;0
6171;5134;5000;5000;0
6171;5136;88000;89000;20532
6171;5137;1053000;1161850;427728,03
6171;5139;1807000;1818079;740134,96
6171;5151;155000;205421;168702,68
6171;5152;327000;327000;181943,99
6171;5153;720000;720000;337136,3
6171;5154;1125000;1107300;435580,34
6171;5156;350000;350000;79808,08
6171;5161;1132000;1132000;651962,8
6171;5162;1481000;1481000;524884,83
6171;5163;16000;16000;12252
6171;5164;5176500;5313300;2706210,45
6171;5166;337000;337000;14822,5
6171;5167;2522200;2535400;859526,75
6171;5168;3571000;3571000;1686086
6171;5169;3806000;4258647;1806745,78
6171;5171;377000;382971;104855,51
6171;5172;220000;220000;0
6171;5173;599000;604800;191990
6171;5175;90500;90500;20725
6171;5176;15000;15000;0
6171;5178;150000;218000;108709,2
6171;5181;0;0;53000
6171;5194;15000;15000;559
6171;5195;89000;89000;0
6171;5199;0;1000;0
6171;5229;5000;5000;4500
6171;5361;1000;1000;0
6171;5362;33000;35400;23391,9
6171;5363;0;523072;261536
6171;5499;1400000;1400000;937249,21
6171;5901;800000;176209;0
6171;5909;0;22155;12155
6171;6111;500000;500000;0
6171;6121;20000000;20000000;242379
6171;6125;750000;750000;133051,6
6310;5141;876000;876000;376699,12
6310;5163;200000;200000;95014,28
6320;5038;320000;320000;166275
6320;5163;850000;850000;435244
6320;5192;10000;10000;1000
6399;5362;4000000;4000000;2273271
6399;5365;0;9099860;9099860
6402;5364;0;712699,5;712699,5
6402;5366;0;4873,5;4873,5
6409;5181;0;0;-1352
6409;5182;0;0;499063
6409;5492;100000;100000;39379
6409;5493;0;100000;21630
6409;5901;1500000;1284851,4;0
6409;5909;1000000;1000000;0
6409;6901;2000000;5446211,54;0
