DOKLAD_DATUM;DOKLAD_AGENDA;DOKLAD_CISLO;PRIJEM_VYDAJ;AKCE;PARAGRAF;POLOZKA;SUBJEKT_IC;SUBJEKT_NAZEV;POZNAMKA;CASTKA
1.1.2017;ROZ;232001;V;100;2310;5329;;;;1049000
1.1.2017;ROZ;232001;V;100;2321;5169;;;;567000
1.1.2017;ROZ;232001;V;100;2321;5171;;;;60000
1.1.2017;ROZ;232001;V;100;2341;5021;;;;15000
1.1.2017;ROZ;232001;V;100;2341;5031;;;;3900
1.1.2017;ROZ;232001;V;100;2341;5032;;;;1400
1.1.2017;ROZ;232001;V;100;2341;5139;;;;30000
1.1.2017;ROZ;232001;V;100;2341;5164;;;;500
1.1.2017;ROZ;232001;V;100;2341;5169;;;;40000
1.1.2017;ROZ;232001;V;100;2341;5171;;;;525000
1.1.2017;ROZ;232001;V;101;3728;5169;;;;40000
1.1.2017;ROZ;232001;V;101;3729;5169;;;;20000
1.1.2017;ROZ;232001;V;106;3113;5331;;;;4145000
1.1.2017;ROZ;232001;V;106;3113;6121;;;;300000
1.1.2017;ROZ;232001;V;107;3113;5171;;;;250000
1.1.2017;ROZ;232001;V;107;3113;5331;;;;4145000
1.1.2017;ROZ;232001;V;107;3113;6121;;;;300000
1.1.2017;ROZ;232001;V;113;3745;5139;;;;8000
1.1.2017;ROZ;232001;V;113;3745;5151;;;;30000
1.1.2017;ROZ;232001;V;113;3745;5154;;;;20000
1.1.2017;ROZ;232001;V;113;3745;5169;;;;25000
1.1.2017;ROZ;232001;V;113;3745;5171;;;;60000
1.1.2017;ROZ;232001;V;115;2219;5169;;;;250000
1.1.2017;ROZ;232001;V;118;4356;5331;;;;2289700
1.1.2017;ROZ;232001;V;119;3319;5021;;;;45000
1.1.2017;ROZ;232001;V;119;3319;5031;;;;11000
1.1.2017;ROZ;232001;V;119;3319;5032;;;;4000
1.1.2017;ROZ;232001;V;119;3319;5137;;;;10000
1.1.2017;ROZ;232001;V;119;3319;5139;;;;48000
1.1.2017;ROZ;232001;V;119;3319;5169;;;;155000
1.1.2017;ROZ;232001;V;119;3319;5171;;;;10000
1.1.2017;ROZ;232001;V;119;3319;5173;;;;80000
1.1.2017;ROZ;232001;V;119;3319;5194;;;;8000
1.1.2017;ROZ;232001;V;119;3319;5493;;;;3000
1.1.2017;ROZ;232001;V;119;3322;5493;;;;80000
1.1.2017;ROZ;232001;V;119;3326;5021;;;;19000
1.1.2017;ROZ;232001;V;119;3326;5139;;;;4000
1.1.2017;ROZ;232001;V;119;3326;5169;;;;22000
1.1.2017;ROZ;232001;V;119;3399;5021;;;;16000
1.1.2017;ROZ;232001;V;119;3399;5139;;;;34000
1.1.2017;ROZ;232001;V;119;3399;5169;;;;28000
1.1.2017;ROZ;232001;V;119;3399;5194;;;;153000
1.1.2017;ROZ;232001;V;119;3399;5492;;;;116000
1.1.2017;ROZ;232001;V;119;3613;5171;;;;70000
1.1.2017;ROZ;232001;V;120;3392;5331;;;;10630800
1.1.2017;ROZ;232001;V;121;3722;5169;;;;440000
1.1.2017;ROZ;232001;V;121;3745;5139;;;;20000
1.1.2017;ROZ;232001;V;121;3745;5171;;;;40000
1.1.2017;ROZ;232001;V;122;3613;5151;;;;70000
1.1.2017;ROZ;232001;V;122;3613;5152;;;;220000
1.1.2017;ROZ;232001;V;122;3613;5153;;;;48000
1.1.2017;ROZ;232001;V;122;3613;5154;;;;280000
1.1.2017;ROZ;232001;V;122;3613;5169;;;;28000
1.1.2017;ROZ;232001;V;122;3613;5171;;;;288000
1.1.2017;ROZ;232001;V;122;5512;5019;;;;52000
1.1.2017;ROZ;232001;V;122;5512;5021;;;;620000
1.1.2017;ROZ;232001;V;122;5512;5031;;;;155000
1.1.2017;ROZ;232001;V;122;5512;5032;;;;55800
1.1.2017;ROZ;232001;V;122;5512;5039;;;;16500
1.1.2017;ROZ;232001;V;122;5512;5132;;;;86700
1.1.2017;ROZ;232001;V;122;5512;5134;;;;73700
1.1.2017;ROZ;232001;V;122;5512;5137;;;;157200
1.1.2017;ROZ;232001;V;122;5512;5139;;;;86500
1.1.2017;ROZ;232001;V;122;5512;5156;;;;187700
1.1.2017;ROZ;232001;V;122;5512;5162;;;;25000
1.1.2017;ROZ;232001;V;122;5512;5163;;;;173000
1.1.2017;ROZ;232001;V;122;5512;5167;;;;10000
1.1.2017;ROZ;232001;V;122;5512;5169;;;;182600
1.1.2017;ROZ;232001;V;122;5512;5171;;;;129500
1.1.2017;ROZ;232001;V;122;5512;5222;;;;70400
1.1.2017;ROZ;232001;V;123;5311;5011;;;;2520000
1.1.2017;ROZ;232001;V;123;5311;5021;;;;50000
1.1.2017;ROZ;232001;V;123;5311;5031;;;;618000
1.1.2017;ROZ;232001;V;123;5311;5032;;;;226800
1.1.2017;ROZ;232001;V;123;5311;5132;;;;1800
1.1.2017;ROZ;232001;V;123;5311;5134;;;;40000
1.1.2017;ROZ;232001;V;123;5311;5136;;;;1000
1.1.2017;ROZ;232001;V;123;5311;5137;;;;15000
1.1.2017;ROZ;232001;V;123;5311;5139;;;;6000
1.1.2017;ROZ;232001;V;123;5311;5151;;;;6000
1.1.2017;ROZ;232001;V;123;5311;5152;;;;28000
1.1.2017;ROZ;232001;V;123;5311;5154;;;;16000
1.1.2017;ROZ;232001;V;123;5311;5156;;;;60000
1.1.2017;ROZ;232001;V;123;5311;5162;;;;22000
1.1.2017;ROZ;232001;V;123;5311;5163;;;;10000
1.1.2017;ROZ;232001;V;123;5311;5164;;;;22000
1.1.2017;ROZ;232001;V;123;5311;5167;;;;5000
1.1.2017;ROZ;232001;V;123;5311;5169;;;;13000
1.1.2017;ROZ;232001;V;123;5311;5171;;;;20000
1.1.2017;ROZ;232001;V;123;5311;5173;;;;5000
1.1.2017;ROZ;232001;V;123;5311;5361;;;;2000
1.1.2017;ROZ;232001;V;123;5311;5362;;;;6500
1.1.2017;ROZ;232001;V;124;6112;5021;;;;68000
1.1.2017;ROZ;232001;V;124;6112;5023;;;;1598100
1.1.2017;ROZ;232001;V;124;6112;5031;;;;416500
1.1.2017;ROZ;232001;V;124;6112;5032;;;;150000
1.1.2017;ROZ;232001;V;124;6112;5167;;;;3000
1.1.2017;ROZ;232001;V;124;6112;5173;;;;20000
1.1.2017;ROZ;232001;V;124;6112;5176;;;;8000
1.1.2017;ROZ;232001;V;124;6112;5424;;;;10000
1.1.2017;ROZ;232001;V;124;6171;5011;;;;22230000
1.1.2017;ROZ;232001;V;124;6171;5021;;;;75000
1.1.2017;ROZ;232001;V;124;6171;5031;;;;5576300
1.1.2017;ROZ;232001;V;124;6171;5032;;;;2007500
1.1.2017;ROZ;232001;V;124;6171;5038;;;;112000
1.1.2017;ROZ;232001;V;124;6171;5132;;;;30000
1.1.2017;ROZ;232001;V;124;6171;5133;;;;1000
1.1.2017;ROZ;232001;V;124;6171;5136;;;;32000
1.1.2017;ROZ;232001;V;124;6171;5137;;;;195000
1.1.2017;ROZ;232001;V;124;6171;5139;;;;335000
1.1.2017;ROZ;232001;V;124;6171;5151;;;;85000
1.1.2017;ROZ;232001;V;124;6171;5153;;;;310000
1.1.2017;ROZ;232001;V;124;6171;5154;;;;770000
1.1.2017;ROZ;232001;V;124;6171;5156;;;;130000
1.1.2017;ROZ;232001;V;124;6171;5161;;;;535000
1.1.2017;ROZ;232001;V;124;6171;5163;;;;55000
1.1.2017;ROZ;232001;V;124;6171;5166;;;;85000
1.1.2017;ROZ;232001;V;124;6171;5167;;;;365000
1.1.2017;ROZ;232001;V;124;6171;5169;;;;2200000
1.1.2017;ROZ;232001;V;124;6171;5171;;;;450000
1.1.2017;ROZ;232001;V;124;6171;5173;;;;120000
1.1.2017;ROZ;232001;V;124;6171;5175;;;;190000
1.1.2017;ROZ;232001;V;124;6171;5176;;;;10000
1.1.2017;ROZ;232001;V;124;6171;5192;;;;50000
1.1.2017;ROZ;232001;V;124;6171;5194;;;;370000
1.1.2017;ROZ;232001;V;124;6171;5195;;;;130000
1.1.2017;ROZ;232001;V;124;6171;5361;;;;20000
1.1.2017;ROZ;232001;V;124;6171;5362;;;;40000
1.1.2017;ROZ;232001;V;124;6171;5424;;;;145000
1.1.2017;ROZ;232001;V;125;3745;5137;;;;40000
1.1.2017;ROZ;232001;V;125;3745;5139;;;;17000
1.1.2017;ROZ;232001;V;125;3745;5171;;;;33000
1.1.2017;ROZ;232001;V;126;3612;5139;;;;90000
1.1.2017;ROZ;232001;V;126;3612;5141;;;;10000
1.1.2017;ROZ;232001;V;126;3612;5151;;;;1960000
1.1.2017;ROZ;232001;V;126;3612;5152;;;;3600000
1.1.2017;ROZ;232001;V;126;3612;5153;;;;25000
1.1.2017;ROZ;232001;V;126;3612;5154;;;;403000
1.1.2017;ROZ;232001;V;126;3612;5161;;;;30300
1.1.2017;ROZ;232001;V;126;3612;5169;;;;4631000
1.1.2017;ROZ;232001;V;126;3612;5171;;;;2330000
1.1.2017;ROZ;232001;V;126;3612;5362;;;;20000
1.1.2017;ROZ;232001;V;127;3635;5169;;;;6000
1.1.2017;ROZ;232001;V;127;3639;5169;;;;920000
1.1.2017;ROZ;232001;V;128;3349;5139;;;;10000
1.1.2017;ROZ;232001;V;128;3349;5169;;;;24000
1.1.2017;ROZ;232001;V;128;3349;5171;;;;75000
1.1.2017;ROZ;232001;V;130;2141;5137;;;;23000
1.1.2017;ROZ;232001;V;130;2141;5139;;;;5000
1.1.2017;ROZ;232001;V;130;2141;5154;;;;15000
1.1.2017;ROZ;232001;V;130;2141;5169;;;;30000
1.1.2017;ROZ;232001;V;130;2141;5171;;;;10000
1.1.2017;ROZ;232001;V;131;6171;5499;;;;689800
1.1.2017;ROZ;232001;V;133;3639;5137;;;;250000
1.1.2017;ROZ;232001;V;133;3639;5169;;;;33000
1.1.2017;ROZ;232001;V;133;3639;5362;;;;50000
1.1.2017;ROZ;232001;V;134;3612;5137;;;;25000
1.1.2017;ROZ;232001;V;134;3612;5139;;;;50000
1.1.2017;ROZ;232001;V;134;3612;5171;;;;371000
1.1.2017;ROZ;232001;V;134;4351;5331;;;;6256500
1.1.2017;ROZ;232001;V;134;4351;6351;;;;350000
1.1.2017;ROZ;232001;V;135;2212;5139;;;;135000
1.1.2017;ROZ;232001;V;135;2212;5169;;;;225000
1.1.2017;ROZ;232001;V;135;2212;5171;;;;7811000
1.1.2017;ROZ;232001;V;135;2219;5021;;;;19500
1.1.2017;ROZ;232001;V;135;2219;5031;;;;5000
1.1.2017;ROZ;232001;V;135;2219;5032;;;;3500
1.1.2017;ROZ;232001;V;135;2219;5139;;;;68000
1.1.2017;ROZ;232001;V;135;2219;5169;;;;55000
1.1.2017;ROZ;232001;V;135;2219;5171;;;;678000
1.1.2017;ROZ;232001;V;135;2221;5021;;;;31000
1.1.2017;ROZ;232001;V;135;2221;5031;;;;8000
1.1.2017;ROZ;232001;V;135;2221;5032;;;;6200
1.1.2017;ROZ;232001;V;135;2221;5139;;;;8000
1.1.2017;ROZ;232001;V;135;2221;5169;;;;37000
1.1.2017;ROZ;232001;V;135;2221;5171;;;;84000
1.1.2017;ROZ;232001;V;135;2221;5193;;;;450000
1.1.2017;ROZ;232001;V;135;2223;5139;;;;85000
1.1.2017;ROZ;232001;V;135;2229;5139;;;;10000
1.1.2017;ROZ;232001;V;135;2229;5169;;;;242000
1.1.2017;ROZ;232001;V;135;2229;5171;;;;63000
1.1.2017;ROZ;232001;V;136;3631;5137;;;;57000
1.1.2017;ROZ;232001;V;136;3631;5139;;;;46000
1.1.2017;ROZ;232001;V;136;3631;5154;;;;1423000
1.1.2017;ROZ;232001;V;136;3631;5169;;;;117000
1.1.2017;ROZ;232001;V;136;3631;5171;;;;602000
1.1.2017;ROZ;232001;V;137;3632;5137;;;;20000
1.1.2017;ROZ;232001;V;137;3632;5139;;;;35000
1.1.2017;ROZ;232001;V;137;3632;5151;;;;20000
1.1.2017;ROZ;232001;V;137;3632;5154;;;;20000
1.1.2017;ROZ;232001;V;137;3632;5169;;;;335000
1.1.2017;ROZ;232001;V;137;3632;5171;;;;200000
1.1.2017;ROZ;232001;V;137;3632;5192;;;;100000
1.1.2017;ROZ;232001;V;137;3722;5169;;;;150000
1.1.2017;ROZ;232001;V;138;3639;5132;;;;5000
1.1.2017;ROZ;232001;V;138;3639;5134;;;;10000
1.1.2017;ROZ;232001;V;138;3639;5137;;;;4000
1.1.2017;ROZ;232001;V;138;3639;5139;;;;6000
1.1.2017;ROZ;232001;V;140;2212;5139;;;;325000
1.1.2017;ROZ;232001;V;140;2212;5169;;;;1719000
1.1.2017;ROZ;232001;V;140;2219;5021;;;;22000
1.1.2017;ROZ;232001;V;140;2219;5031;;;;5000
1.1.2017;ROZ;232001;V;140;2219;5032;;;;3000
1.1.2017;ROZ;232001;V;140;2219;5139;;;;411000
