ORJ;ORJ_NAZEV
214;MŠ Vídeňská 39a - zateplení a výměna oken
901;ZŠ Antonínská 3
902;ZŠ Bakalovo nábř. 8
903;ZŠ Horní 16
904;ZŠ Hroznová 1
905;ZŠ a MŠ Husova 17
906;ZŠ a MŠ Křenová 21
907;ZŠ a MŠ Křídlovická 30 b
908;ZŠ a MŠ Kotlářská 4
909;ZŠ nám.Míru 3
911;ZŠ a MŠ nám.28.října 22
913;ZŠ Úvoz 55
921;MŠ Biskupská 7
923;MŠ Francouzská 50
927;MŠ Kamenná 21
928;MŠ Vídeňská 39a
931;MŠ Nádvorní 3
933;MŠ Pellicova
934;MŠ Všetičkova
935;MŠ Pšeník 18
936;MŠ Údolní 68
943;MŠ Úvoz 57
947;MŠ Údolní 9a
949;MŠ Horní 17
950;MŠ Vinařská 4
960;ŠJ Bakalovo nábř.8
962;ŠJ Horní 16
963;ŠJ Kounicova 30
965;ŠJ Nádvorní 1
966;ŠJ Pellicova 4
967;ŠJ Úvoz 55
971;MŠ Skořepka 5
972;MŠ Bílého 24
973;MŠ Křenová 76
974;MŠ Tučkova 36
975;MŠ Bayerova 5
976;MŠ Soukenická 8
1210;Oddělení kanceláře starosty
1630;Uvolněný člen ZMČ pro výstavbu a územní rozvoj
2000;Odbor právní a organizační
2030;platy zam.-příjmy od města
2100;Oddělení kanceláře tajemníka
2110;Oddělení personální a mzdové
2320;Oddělení matrika
2330;Oddělení zvláštní matrika
2400;Odbor informatika
2500;Odbor ekonomický
2600;Odbor obchodu, dopravy a služeb
2800;Odbor sociální a zdravotní
2900;Odbor školství, sportu, kultury a mládeže
3100;Odbor životního prostředí
3200;Odbor výstavby a územního rozvoje, stavební úřad
3400;Odbor majetkový
3410;Oddělení dopravy
3430;Oddělení obchodu
3500;Odbor investiční a správy bytových domů
104513013;ZP org. - 1 VPP 82,36 %
