DOKLAD_ROK;DOKLAD_DATUM;DOKLAD_AGENDA;DOKLAD_CISLO;ORJ;PARAGRAF;POLOZKA;SUBJEKT_IC;SUBJEKT_NAZEV;CASTKA;POZNAMKA
2016;13.1.2016;UCT;310056;2030;6171;5011;;Neurčeno;-936472;
2016;13.1.2016;UCT;310056;2030;6171;5424;;Neurčeno;-680;
2016;13.1.2016;UCT;310056;2030;6171;5032;;Neurčeno;-84284;
2016;13.1.2016;UCT;310056;2030;6171;5031;;Neurčeno;-234124;
2016;14.1.2016;UCT;310062;2030;6171;5011;;Neurčeno;-684260;
2016;20.1.2016;UCT;310166;2800;4351;5161;;Neurčeno;24;
2016;18.1.2016;UCT;310195;2030;6171;5011;;Neurčeno;-427889;
2016;18.1.2016;UCT;310196;2030;6171;5011;;Neurčeno;-1378428;
2016;29.1.2016;UCT;310228;2030;6171;5011;;Neurčeno;-834745;
2016;25.1.2016;UCT;310235;2800;4351;5161;;Neurčeno;68;
2016;25.1.2016;UCT;310263;2400;6171;5169;;Neurčeno;-152;
2016;25.1.2016;UCT;310272;2400;6171;5161;;Neurčeno;-2157;
2016;20.1.2016;UCT;310273;2400;6171;5172;;Neurčeno;-16093;
2016;20.1.2016;UCT;320127;2500;6171;5182;;Neurčeno;-115266;
2016;26.1.2016;UCT;320176;2500;6171;5182;;Neurčeno;-100622;
2016;26.1.2016;UCT;320176;2500;6171;5182;;Neurčeno;100622;
2016;26.1.2016;UCT;320176;2500;6171;5182;;Neurčeno;-100622;
2016;27.1.2016;UCT;320185;2500;6171;5182;;Neurčeno;-165133;
2016;27.1.2016;UCT;320185;2500;6171;5182;;Neurčeno;165133;
2016;27.1.2016;UCT;320185;2500;6171;5182;;Neurčeno;-165133;
2016;29.1.2016;UCT;320210;2500;6171;5182;;Neurčeno;-111207;
2016;29.1.2016;UCT;320210;2500;6171;5182;;Neurčeno;111207;
2016;29.1.2016;UCT;320210;2500;6171;5182;;Neurčeno;-111207;
2016;13.1.2016;UCT;320212;2500;6171;5182;;Neurčeno;-139303;
2016;13.1.2016;UCT;320212;2500;6171;5182;;Neurčeno;139303;
2016;13.1.2016;UCT;320212;2500;6171;5182;;Neurčeno;-139303;
2016;31.1.2016;UCT;720551;3400;6171;5169;;Neurčeno;131814;
2016;24.2.2016;UCT;310286;2800;4351;5161;;Neurčeno;24;
2016;15.2.2016;UCT;310305;2500;6330;5345;;Neurčeno;-20000000;
2016;15.2.2016;UCT;310310;2030;3612;5011;;Neurčeno;-917369;
2016;15.2.2016;UCT;310310;2030;3612;5424;;Neurčeno;-1041;
2016;15.2.2016;UCT;310310;2030;3612;5032;;Neurčeno;-82568;
2016;15.2.2016;UCT;310310;2030;3612;5031;;Neurčeno;-229351;
2016;17.2.2016;UCT;310342;2030;6171;5011;;Neurčeno;-420472;
2016;16.2.2016;UCT;310343;2030;6171;5011;;Neurčeno;-684341;
2016;18.2.2016;UCT;310344;2030;6171;5011;;Neurčeno;-1067321;
2016;22.2.2016;UCT;320150;2500;6171;5182;;Neurčeno;-138014;
2016;24.2.2016;UCT;320167;2500;6171;5182;;Neurčeno;-126379;
2016;25.2.2016;UCT;320177;2500;6171;5182;;Neurčeno;-124506;
2016;25.2.2016;UCT;320178;2500;6310;5163;;Neurčeno;25;
2016;26.2.2016;UCT;320185;2500;6171;5182;;Neurčeno;-100638;
2016;26.2.2016;UCT;320186;2500;6310;5163;;Neurčeno;25;
2016;29.2.2016;UCT;320207;2500;6171;5182;;Neurčeno;-442974;
2016;29.2.2016;UCT;320208;2500;6310;5163;;Neurčeno;25;
2016;26.2.2016;UCT;320211;2500;6330;5345;;Neurčeno;19000000;
2016;23.2.2016;UCT;310350;2400;6171;5161;;Neurčeno;-2065.7;
2016;3.2.2016;UCT;310351;2500;6399;5362;;Neurčeno;-397124;
2016;8.2.2016;UCT;310353;2500;6409;5909;;Neurčeno;-281450.7;
2016;1.2.2016;UCT;320014;2500;6330;5345;;Neurčeno;2238.64;
2016;8.2.2016;UCT;320051;2500;6171;5182;;Neurčeno;-117218;
2016;8.2.2016;UCT;320051;2500;6171;5182;;Neurčeno;117218;
2016;8.2.2016;UCT;320051;2500;6171;5182;;Neurčeno;-117218;
2016;11.2.2016;UCT;320080;2500;6171;5182;;Neurčeno;-117410;
2016;28.2.2016;UCT;930006;2500;6171;5182;;Neurčeno;1798670;
2016;28.2.2016;UCT;930008;3400;6171;5169;;Neurčeno;-131814;
2016;28.2.2016;UCT;970001;2400;6171;5162;;Neurčeno;-2420;
2016;28.2.2016;UCT;970001;2800;4351;5162;;Neurčeno;2420;
2016;28.2.2016;UCT;970001;3500;6171;5156;;Neurčeno;-6512;
2016;28.2.2016;UCT;970001;2800;4324;5156;;Neurčeno;6512;
2016;28.2.2016;UCT;970001;2400;6171;5162;;Neurčeno;-2895.85;
2016;28.2.2016;UCT;970001;2800;4351;5162;;Neurčeno;2895.85;
2016;28.2.2016;UCT;970001;2400;6171;5169;;Neurčeno;-250;
2016;28.2.2016;UCT;970001;2000;6171;5166;;Neurčeno;250;
2016;28.2.2016;UCT;970001;2400;6171;5162;;Neurčeno;-2420;
2016;28.2.2016;UCT;970001;2800;4351;5162;;Neurčeno;2420;
2016;28.2.2016;UCT;970001;2400;6171;5162;;Neurčeno;-3730.77;
2016;28.2.2016;UCT;970001;2800;4351;5162;;Neurčeno;3730.77;
2016;28.2.2016;UCT;970001;2400;6171;5161;;Neurčeno;-1546.9;
2016;28.2.2016;UCT;970001;2800;4324;5161;;Neurčeno;1546.9;
2016;28.2.2016;UCT;970001;2400;6171;5162;;Neurčeno;-2849.58;
2016;28.2.2016;UCT;970001;2800;4324;5162;;Neurčeno;2849.58;
2016;24.2.2016;UCT;970002;2400;6171;5161;;Neurčeno;-2558;
2016;24.2.2016;UCT;970002;2800;4324;5161;;Neurčeno;2558;
2016;24.2.2016;UCT;970002;2400;6171;5162;;Neurčeno;-3420.08;
2016;24.2.2016;UCT;970002;2800;4324;5162;;Neurčeno;3420.08;
2016;24.2.2016;UCT;970002;3500;6171;5156;;Neurčeno;-3675;
2016;24.2.2016;UCT;970002;2800;4324;5156;;Neurčeno;3675;
2016;26.2.2016;UCT;970003;2400;6171;5162;;Neurčeno;-9788;
2016;26.2.2016;UCT;970003; ;6171;5011;;Neurčeno;9788;
2016;16.3.2016;UCT;310235;2030;6171;5011;;Neurčeno;-1074569;
2016;16.3.2016;UCT;310237;2030;6171;5011;;Neurčeno;-947631;
2016;16.3.2016;UCT;310237;2030;6171;5024;;Neurčeno;-2602;
2016;16.3.2016;UCT;310237;2030;6171;5032;;Neurčeno;-85293;
2016;16.3.2016;UCT;310237;2030;6171;5031;;Neurčeno;-236916;
2016;14.3.2016;UCT;310232;2030;6171;5011;;Neurčeno;-437660;
2016;15.3.2016;UCT;310362;2030;6171;5011;;Neurčeno;-698374;
2016;2.3.2016;UCT;310363;2030;6171;5011;;Neurčeno;-839743;
2016;15.3.2016;UCT;310364;2500;6330;5348;;Neurčeno;720429;
2016;1.3.2016;UCT;320031;2500;6330;5345;;Neurčeno;1542.94;
2016;15.3.2016;UCT;320103;2500;6310;5163;;Neurčeno;25;
2016;16.3.2016;UCT;320116;2500;6310;5163;;Neurčeno;25;
2016;23.3.2016;UCT;320161;2500;6310;5163;;Neurčeno;25;
2016;21.3.2016;UCT;320213;2500;6310;5163;;Neurčeno;25;
2016;21.3.2016;UCT;320214;2500;6310;5163;;Neurčeno;25;
2016;31.3.2016;UCT;320230;2500;6310;5163;;Neurčeno;25;
2016;30.3.2016;UCT;930006; ;6171;5011;;Neurčeno;-9788;
2016;30.3.2016;UCT;930006;2030;6171;5011;;Neurčeno;9788;
2016;30.3.2016;UCT;930008;2800;4356;5152;;Neurčeno;29515;
2016;30.3.2016;UCT;930008;3100;3745;5151;;Neurčeno;4966;
2016;30.3.2016;UCT;930008;3100;3745;5151;;Neurčeno;-4966;
2016;30.3.2016;UCT;930008;2030;3612;5011;;Neurčeno;917369;
2016;30.3.2016;UCT;930008;2030;3612;5424;;Neurčeno;1041;
2016;30.3.2016;UCT;930008;2030;3612;5032;;Neurčeno;82568;
2016;30.3.2016;UCT;930008;2030;3612;5031;;Neurčeno;229351;
2016;30.3.2016;UCT;930008;2030;6171;5011;;Neurčeno;-917369;
2016;30.3.2016;UCT;930008;2030;6171;5424;;Neurčeno;-1041;
2016;30.3.2016;UCT;930008;2030;6171;5032;;Neurčeno;-82568;
2016;30.3.2016;UCT;930008;2030;6171;5031;;Neurčeno;-229351;
2016;30.3.2016;UCT;930008;2030;6171;5024;;Neurčeno;2602;
2016;30.3.2016;UCT;930008;2030;6171;5424;;Neurčeno;-2602;
2016;30.3.2016;UCT;930008;2800;4351;5154;;Neurčeno;7290;
2016;30.3.2016;UCT;930008;2800;4351;5154;;Neurčeno;3617;
2016;11.3.2016;UCT;970001;2400;6171;5162;;Neurčeno;-11440;
2016;11.3.2016;UCT;970001;2030;6171;5011;;Neurčeno;11440;
2016;14.3.2016;UCT;970003;3500;6171;5169;;Neurčeno;-2420;
2016;14.3.2016;UCT;970003;3500;6171;5171;;Neurčeno;-1513;
2016;14.3.2016;UCT;970003;2800;4351;5169;;Neurčeno;2420;
2016;14.3.2016;UCT;970003;2800;4351;5171;;Neurčeno;1513;
2016;30.3.2016;UCT;970004;2400;6171;5162;;Neurčeno;-2420;
2016;30.3.2016;UCT;970004;2800;4351;5162;;Neurčeno;2420;
2016;30.3.2016;UCT;970004;2400;6171;5162;;Neurčeno;-3133.69;
2016;30.3.2016;UCT;970004;2800;4351;5162;;Neurčeno;3133.69;
2016;30.3.2016;UCT;970004;3500;6171;5156;;Neurčeno;-5558;
2016;30.3.2016;UCT;970004;2800;4324;5156;;Neurčeno;5558;
2016;30.3.2016;UCT;970005;2030;6171;5011;;Neurčeno;-8600;
