"Položka ";"Název ";"Druh ";"Třída ";"Seskupení ";"Podseskupení ";"Od ";"Do "
"5011";"Platy zaměstnanců v pracovním poměru vyjma zaměstnanců na služebních místech";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Platy";"1.1.2016";"1.1.9999"
"5012";"Platy zaměstnanců bezpečnostních sborů a ozbrojených sil ve služebním poměru";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Platy";"1.1.2016";"1.1.9999"
"5013";"Platy zaměstnanců na služebních místech podle zákona o státní službě";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Platy";"1.1.2016";"1.1.9999"
"5014";"Platy zaměstnanců v pracovním poměru odvozované od platů ústavních činitelů";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Platy";"1.1.1900";"1.1.9999"
"5019";"Ostatní platy";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Platy";"1.1.1900";"1.1.9999"
"5021";"Ostatní osobní výdaje";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5022";"Platy představitelů státní moci a některých orgánů";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5023";"Odměny členů zastupitelstev obcí a krajů";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5024";"Odstupné";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5025";"Odbytné";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5026";"Odchodné";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5027";"Náležitosti osob vykonávajících vojenská cvičení a další vojenskou službu";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5029";"Ostatní platby za provedenou práci jinde nezařazené";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Povinné pojistné placené zaměstnavatelem";"1.1.1900";"1.1.9999"
