"Paragraf ";"Název ";"Skupina ";"Oddíl ";"Podddíl ";"Od ";"Do "
"0000";"Pro příjmy (technický záznam)";"Příjmy";"Příjmy";"Příjmy";"1.1.1900";"31.12.9999"
"1011";"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";"1.1.1900";"31.12.9999"
"1012";"Podnikání a restrukturalizace v zemědělství a potravinářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";"1.1.1900";"31.12.9999"
"1013";"Genetický potenciál hospodářských zvířat, osiv a sádí";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";"1.1.1900";"31.12.9999"
"1014";"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";"1.1.1900";"31.12.9999"
"1019";"Ostatní zemědělská a potravinářská činnost a rozvoj";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";"1.1.1900";"31.12.9999"
"1021";"Organizace trhu s produkty rostlinné výroby";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";"1.1.1900";"31.12.9999"
"1022";"Organizace trhu s výrobky vzniklými zpracováním produktů rostlinné výroby";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";"1.1.1900";"31.12.9999"
"1023";"Organizace trhu s produkty živočišné výroby";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";"1.1.1900";"31.12.9999"
"1024";"Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";"1.1.1900";"31.12.9999"
"1029";"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";"1.1.1900";"31.12.9999"
"1031";"Pěstební činnost";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";"1.1.1900";"31.12.9999"
"1032";"Podpora ostatních produkčních činností";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";"1.1.1900";"31.12.9999"
"1036";"Správa v lesním hospodářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";"1.1.1900";"31.12.9999"
"1037";"Celospolečenské funkce lesů";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";"1.1.1900";"31.12.9999"
"1039";"Ostatní záležitosti lesního hospodářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";"1.1.1900";"31.12.9999"
"1061";"Činnost ústředního orgánu státní správy v zemědělství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Správa v zemědělství";"1.1.1900";"31.12.9999"
"1062";"Činnost ostatních orgánů státní správy v zemědělství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Správa v zemědělství";"1.1.1900";"31.12.9999"
