"DOKLAD_ROK";"ORGANIZACE";"ORGANIZACE_NAZEV";"ORJ";"ORJ_NAZEV";"CASTKA_SCHVALENY_ROZ";"CASTKA_UPRAVENY_ROZ";"CASTKA_CERPANI";"SOURADNICE_DELKA";"SOURADNICE_SIRKA"
"2016";"0000000000338";"Bělisko - most";"1102";" Bělisko - most ";"100000";"50000";"50000";"16.071044921875";"49.571891784668"
"2016";"0000000000310";"Bezbariérový přístup II. ZŠ";"3206";"II. základní škola – bezbariérový přístup";"0";"150000";"0";"16.07155418396";"49.5639266967773"
"2016";"0000000000357";"Budovatelů - mostek přes Bezděčku";"1702";"Budovatelů - mostek přes Bezděčku";"1290000";"1331650";"1331614";"16.0801658630371";"49.5632019042969"
"2016";"0000000000126";"Bytové hospodářství";"1909";"Drobného - obnova výtahu č.p. 301";"680000";"748305";"748305";"16.0775527954102";"49.566650390625"
"2016";"0000000000126";"Bytové hospodářství";"3002";"Křenkova – oprava fasád bytových domů";"1400000";"108000";"107946.08";"16.0766830444336";"49.5644454956055"
"2016";"0000000000390";"Cyklostezka Vlachovická";"7207";"Cyklostezka Vlachovická";"110000";"110000";"97000";"16.0581493377686";"49.5670547485352"
"2016";"0000000000135";"Doprava";"9614";"Pohledec - oprava MK u MŠ a k hasičárně II. etapa";"800000";"800000";"0";"16.0974998474121";"49.576301574707"
"2016";"0000000000135";"Doprava";"9709";"Rokytno – oprava MK";"900000";"495000";"157273";"16.0683002471924";"49.598201751709"
"2016";"0000000000323";"Dotace";"9711";"Rokytno – oprava MK Rokytno-Vlachovice";"0";"950000";"949407";"16.0666885375977";"49.5983848571777"
"2016";"0000000000371";"Drobného-úprava před Enpekou na st. sídlišti vč. Zastávky MHD";"1904";"Drobného-úprava před Enpekou na st. sídlišti vč.zastávky MHD";"80000";"20000";"0";"16.0772304534912";"49.5681571960449"
"2016";"0000000000368";"Dukelská - Rekonstrukce mostu + lávka pro pěší s přechodem";"2003";"Dukelská - Rekonstrukce mostu + lávka pro pěší s přechodem";"290000";"190000";"90000";"16.0679988861084";"49.5639495849609"
"2016";"0000000000223";"Ekologické nocležiště";"0";"";"100000";"100000";"31522.4";"16.0672988891602";"49.5791435241699"
"2016";"0000000000301";"Hlinné – altán u kaple s terénními úpravami";"9114";"Hlinné – altán u kaple s terénními úpravami";"200000";"0";"0";"16.0373783111572";"49.5274848937988"
