"DOKLAD_ROK";"DOKLAD_DATUM";"DOKLAD_AGENDA";"DOKLAD_CISLO";"ORGANIZACE";"ORGANIZACE_NAZEV";"ORJ";"ORJ_NAZEV";"PARAGRAF";"PARAGRAF_NAZEV";"POLOZKA";"POLOZKA_NAZEV";"SUBJEKT_IC";"SUBJEKT_NAZEV";"CASTKA_MD";"CASTKA_DAL";"POZNAMKA"
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5171";"Opravy a udržování";"";"";"0";"1166000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000137";"Pohřebnictví";"0";"";"3632";"Pohřebnictví";"5154";"Elektrická energie";"";"";"0";"20000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000137";"Pohřebnictví";"0";"";"3632";"Pohřebnictví";"5169";"Nákup ostatních služeb";"";"";"0";"465000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000137";"Pohřebnictví";"0";"";"3632";"Pohřebnictví";"5171";"Opravy a udržování";"";"";"0";"100000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000137";"Pohřebnictví";"0";"";"3632";"Pohřebnictví";"5192";"Poskytnuté neinvestiční příspěvky a náhrady (část)";"";"";"0";"100000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000127";"Stavebnictví";"0";"";"3635";"Územní plánování";"5169";"Nákup ostatních služeb";"";"";"0";"5000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000363";"Nový územní plán";"1025";"";"3635";"Územní plánování";"6119";"Ostatní nákup dlouhodobého nehmotného majetku";"";"";"0";"136400";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000363";"Nový územní plán";"9109";"";"3635";"Územní plánování";"6119";"Ostatní nákup dlouhodobého nehmotného majetku";"";"";"0";"3100";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000363";"Nový územní plán";"9210";"";"3635";"Územní plánování";"6119";"Ostatní nákup dlouhodobého nehmotného majetku";"";"";"0";"4300";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000363";"Nový územní plán";"9307";"";"3635";"Územní plánování";"6119";"Ostatní nákup dlouhodobého nehmotného majetku";"";"";"0";"4500";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000363";"Nový územní plán";"9412";"";"3635";"Územní plánování";"6119";"Ostatní nákup dlouhodobého nehmotného majetku";"";"";"0";"4400";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000363";"Nový územní plán";"9508";"";"3635";"Územní plánování";"6119";"Ostatní nákup dlouhodobého nehmotného majetku";"";"";"0";"4000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000363";"Nový územní plán";"9612";"";"3635";"Územní plánování";"6119";"Ostatní nákup dlouhodobého nehmotného majetku";"";"";"0";"8200";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000137";"Pohřebnictví";"0";"";"3632";"Pohřebnictví";"5151";"Studená voda";"";"";"0";"20000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000137";"Pohřebnictví";"0";"";"3632";"Pohřebnictví";"5139";"Nákup materiálu jinde nezařazený";"";"";"0";"35000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000137";"Pohřebnictví";"0";"";"3632";"Pohřebnictví";"5137";"Drobný hmotný dlouhodobý majetek";"";"";"0";"20000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"6401";"";"3613";"Nebytové hospodářství";"5171";"Opravy a udržování";"";"";"0";"100000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"9107";"";"3613";"Nebytové hospodářství";"5171";"Opravy a udržování";"";"";"0";"150000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000313";"Slavkovice – přístřešek u hasičské zbrojnice";"9810";"";"3613";"Nebytové hospodářství";"6121";"Budovy, haly a stavby";"";"";"0";"150000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000260";"Studnice – rekonstrukce obecní budovy";"9906";"";"3613";"Nebytové hospodářství";"6121";"Budovy, haly a stavby";"";"";"0";"200000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000254";"ZŠ Malá – vybudování výtahu";"3604";"";"3613";"Nebytové hospodářství";"6122";"Stroje, přístroje a zařízení";"";"";"0";"60000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000136";"Veřejné osvětlení";"0";"";"3631";"Veřejné osvětlení";"5137";"Drobný hmotný dlouhodobý majetek";"";"";"0";"88000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000136";"Veřejné osvětlení";"0";"";"3631";"Veřejné osvětlení";"5139";"Nákup materiálu jinde nezařazený";"";"";"0";"106000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000136";"Veřejné osvětlení";"0";"";"3631";"Veřejné osvětlení";"5154";"Elektrická energie";"";"";"0";"1689000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000136";"Veřejné osvětlení";"0";"";"3631";"Veřejné osvětlení";"5169";"Nákup ostatních služeb";"";"";"0";"162000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000136";"Veřejné osvětlení";"0";"";"3631";"Veřejné osvětlení";"5171";"Opravy a udržování";"";"";"0";"823000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000302";"Hlinné – rozšíření VO o 2 světelné body";"9115";"";"3631";"Veřejné osvětlení";"6121";"Budovy, haly a stavby";"";"";"0";"175000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000293";"Olešná – rozšíření VO o 3 světelné body";"9417";"";"3631";"Veřejné osvětlení";"6121";"Budovy, haly a stavby";"";"";"0";"318000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000363";"Nový územní plán";"9707";"";"3635";"Územní plánování";"6119";"Ostatní nákup dlouhodobého nehmotného majetku";"";"";"0";"4000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000363";"Nový územní plán";"9806";"";"3635";"Územní plánování";"6119";"Ostatní nákup dlouhodobého nehmotného majetku";"";"";"0";"7500";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000127";"Stavebnictví";"7306";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5169";"Nákup ostatních služeb";"";"";"0";"450000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000147";"Veřejné WC";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5171";"Opravy a udržování";"";"";"0";"15000";""
